Course	Platform	Start date	End date	Number enrolled	Number completed	% completed	Assessment type	Data source
Human-Computer Interaction (studio track)	Coursera	2012		29105	791	2.7	Auto and peer grading	http://reflectionsandcontemplations.wordpress.com/2012/07/14/review-of-the-coursera-human-computer-interaction-course/
Bioelectricity - a quantitative approach	Coursera	2012		12000	313	2.6	Auto and peer grading	http://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/6216/Duke_Bioelectricity_MOOC_Fall2012.pdf
Think Again: How to Reason and Argue	Coursera	2012		226652	5322	2.3	Auto grading only	http://cit.duke.edu/blog/2013/06/preliminary-results-on-dukes-third-coursera-effort-think-again/
Social Network Analysis	Coursera	2012		61285	1410	2.3	Auto and peer grading	http://moocmoocher.wordpress.com/2012/12/
Artificial Intelligence Planning	Coursera	2013		29894	654	2.2	Auto grading only	http://www.era.lib.ed.ac.uk/bitstream/1842/6683/1/Edinburgh%20MOOCs%20Report%202013%20%231.pdf
Principles of Microeconomics	Coursera	2013		35814	739	2.1	Auto and peer grading	https://moocmoocher.wordpress.com/2013/02/13/synthesising-mooc-completion-rates/comment-page-2/#comment-1234
Technicity	Coursera	2013		21000	400	1.9	Peer grading only	http://thelantern.com/2013/08/ohio-state-offers-6-online-courses-general-public-coursera/
Introduction to Water Treatment	EdX	2013		29088	545	1.9	Unknown	http://www.emoocs2015.eu/sites/default/files/Papers.pdf
Generating the Wealth of Nations	Coursera	2013		28922	500	1.7	Peer grading only	http://signsofchaos.blogspot.co.uk/2013/07/an-assessment-of-mooc.html
Medical Neuroscience	Coursera	2013		44980	756	1.7	Auto and peer grading	http://cit.duke.edu/blog/2013/07/coursera-medical-neuroscience-week-3/
Writing II - Rhetorical Composing	Coursera	2013		30000	500	1.7	Peer grading only	http://thelantern.com/2013/08/ohio-state-offers-6-online-courses-general-public-coursera/
Software Defined Networking	Coursera	2013		53000	700	1.3	Auto grading only	https://twitter.com/feamster
Learning Design for a 21st Century Curriculum (OLDSMOOC)	Independent	2013		2420	30	1.2	Unknown	http://oro.open.ac.uk/37836/
First-Year Composition 2.0	Coursera	2013		21934	238	1.1	Peer grading only	http://chronicle.com/blogs/wiredcampus/lessons-learned-from-a-freshman-composition-mooc/46337
Delft Design Guide	EdX	2014		13503	136	1	Unknown	Personal communication
CS50x - Introduction to Computer Science I	EdX	2012		150349	1388	0.9	Auto grading only	https://blog.cs50.net/2013/05/01/0/
A History of the World since 1300	Coursera	2012		83000	605	0.7	Peer grading only	http://www.crikey.com.au/2012/12/18/mass-revolution-or-mass-con-universities-and-open-courses/?wpmp_switcher=mobile
